round,config,avg_score,ts
197,vector,,1785690968
198,ungrounded,,1785690968
198,lexical,,1785690968
198,vector,,1785690968
199,ungrounded,,1785690968
199,lexical,,1785690968
199,vector,,1785690968
200,ungrounded,,1785690968
200,lexical,,1785690968
200,vector,,1785690968
201,ungrounded,,1785690968
201,lexical,,1785690968
201,vector,,1785690968
202,ungrounded,,1785690968
202,lexical,,1785690968
202,vector,,1785690968
203,ungrounded,,1785690968
203,lexical,,1785690968
203,vector,,1785690968
204,ungrounded,,1785690968
204,lexical,,1785690968
204,vector,,1785690968
205,ungrounded,,1785690968
205,lexical,,1785690968
205,vector,,1785690968
206,ungrounded,,1785690968
206,lexical,,1785690968
206,vector,,1785690968
207,ungrounded,,1785690968
207,lexical,,1785690968
207,vector,,1785690968
208,ungrounded,,1785690968
208,lexical,,1785690968
208,vector,,1785690968
209,ungrounded,,1785690968
209,lexical,,1785690968
209,vector,,1785690968
210,ungrounded,,1785690968
210,lexical,,1785690968
210,vector,,1785690968
211,ungrounded,,1785690968
211,lexical,,1785690968
211,vector,,1785690968
212,ungrounded,,1785690968
212,lexical,,1785690968
212,vector,,1785690968
213,ungrounded,,1785690968
213,lexical,,1785690968
213,vector,,1785690968
214,ungrounded,,1785690968
214,lexical,,1785690968
214,vector,,1785690968
215,ungrounded,,1785690968
215,lexical,,1785690968
215,vector,,1785690968
216,ungrounded,,1785690968
216,lexical,,1785690968
216,vector,,1785690968
217,ungrounded,,1785690968
217,lexical,,1785690968
217,vector,,1785690968
218,ungrounded,,1785690968
218,lexical,,1785690968
218,vector,,1785690968
219,ungrounded,,1785690968
219,lexical,,1785690968
219,vector,,1785690968
220,ungrounded,,1785690968
220,lexical,,1785690968
220,vector,,1785690968
221,ungrounded,,1785690968
221,lexical,,1785690968
221,vector,,1785690968
222,ungrounded,,1785690968
222,lexical,,1785690968
222,vector,,1785690968
223,ungrounded,,1785690969
223,lexical,,1785690969
223,vector,,1785690969
224,ungrounded,,1785690969
224,lexical,,1785690969
224,vector,,1785690969
225,ungrounded,,1785690969
225,lexical,,1785690969
225,vector,,1785690969
226,ungrounded,,1785690969
226,lexical,,1785690969
226,vector,,1785690969
227,ungrounded,,1785690969
227,lexical,,1785690969
227,vector,,1785690969
228,ungrounded,,1785690969
228,lexical,,1785690969
228,vector,,1785690969
229,ungrounded,,1785690969
229,lexical,,1785690969
229,vector,,1785690969
230,ungrounded,,1785690969
230,lexical,,1785690969
230,vector,,1785690969
231,ungrounded,,1785690969
231,lexical,,1785690969
231,vector,,1785690969
232,ungrounded,,1785690969
232,lexical,,1785690969
232,vector,,1785690969
233,ungrounded,,1785690969
233,lexical,,1785690969
233,vector,,1785690969
234,ungrounded,,1785690969
234,lexical,,1785690969
234,vector,,1785690969
235,ungrounded,,1785690969
235,lexical,,1785690969
235,vector,,1785690969
236,ungrounded,,1785690969
236,lexical,,1785690969
236,vector,,1785690969
237,ungrounded,,1785690969
237,lexical,,1785690969
237,vector,,1785690969
238,ungrounded,,1785690969
238,lexical,,1785690969
238,vector,,1785690969
239,ungrounded,,1785690969
239,lexical,,1785690969
239,vector,,1785690969
240,ungrounded,,1785690969
240,lexical,,1785690969
240,vector,,1785690969
241,ungrounded,,1785690969
241,lexical,,1785690969
241,vector,,1785690969
242,ungrounded,,1785690969
242,lexical,,1785690969
242,vector,,1785690969
243,ungrounded,,1785690969
243,lexical,,1785690969
243,vector,,1785690969
244,ungrounded,,1785690969
244,lexical,,1785690969
244,vector,,1785690969
245,ungrounded,,1785690969
245,lexical,,1785690969
245,vector,,1785690969
246,ungrounded,,1785690969
246,lexical,,1785690969
246,vector,,1785690969
247,ungrounded,,1785690969
247,lexical,,1785690969
247,vector,,1785690969
248,ungrounded,,1785690969
248,lexical,,1785690969
248,vector,,1785690969
249,ungrounded,,1785690969
249,lexical,,1785690969
249,vector,,1785690969
250,ungrounded,,1785690969
250,lexical,,1785690969
250,vector,,1785690969
251,ungrounded,,1785690969
251,lexical,,1785690969
251,vector,,1785690969
252,ungrounded,,1785690969
252,lexical,,1785690969
252,vector,,1785690969
253,ungrounded,,1785690969
253,lexical,,1785690969
253,vector,,1785690969
254,ungrounded,,1785690970
254,lexical,,1785690970
254,vector,,1785690970
255,ungrounded,,1785690970
255,lexical,,1785690970
255,vector,,1785690970
256,ungrounded,,1785690970
256,lexical,,1785690970
256,vector,,1785690970
257,ungrounded,,1785690970
257,lexical,,1785690970
257,vector,,1785690970
258,ungrounded,,1785690970
258,lexical,,1785690970
258,vector,,1785690970
259,ungrounded,,1785690970
259,lexical,,1785690970
259,vector,,1785690970
260,ungrounded,,1785690970
260,lexical,,1785690970
260,vector,,1785690970
261,ungrounded,,1785690970
261,lexical,,1785690970
261,vector,,1785690970
262,ungrounded,,1785690970
262,lexical,,1785690970
262,vector,,1785690970
263,ungrounded,,1785690970
263,lexical,,1785690970
263,vector,,1785690970
264,ungrounded,,1785690970
264,lexical,,1785690970
264,vector,,1785690970
265,ungrounded,,1785690970
265,lexical,,1785690970
265,vector,,1785690970
266,ungrounded,,1785690970
266,lexical,,1785690970
266,vector,,1785690970
267,ungrounded,,1785690970
267,lexical,,1785690970
267,vector,,1785690970
268,ungrounded,,1785690970
268,lexical,,1785690970
268,vector,,1785690970
269,ungrounded,,1785690970
269,lexical,,1785690970
269,vector,,1785690970
270,ungrounded,,1785690970
270,lexical,,1785690970
270,vector,,1785690970
271,ungrounded,,1785690970
271,lexical,,1785690970
271,vector,,1785690970
272,ungrounded,,1785690970
272,lexical,,1785690970
272,vector,,1785690970
273,ungrounded,,1785690970
273,lexical,,1785690970
273,vector,,1785690970
274,ungrounded,,1785690970
274,lexical,,1785690970
274,vector,,1785690970
275,ungrounded,,1785690970
275,lexical,,1785690970
275,vector,,1785690970
276,ungrounded,,1785690970
276,lexical,,1785690970
276,vector,,1785690970
277,ungrounded,,1785690970
277,lexical,,1785690970
277,vector,,1785690970
278,ungrounded,,1785690970
278,lexical,,1785690970
278,vector,,1785690970
279,ungrounded,,1785690970
279,lexical,,1785690970
279,vector,,1785690970
280,ungrounded,,1785690970
280,lexical,,1785690970
280,vector,,1785690970
281,ungrounded,,1785690970
281,lexical,,1785690970
281,vector,,1785690970
282,ungrounded,,1785690970
282,lexical,,1785690970
282,vector,,1785690970
283,ungrounded,,1785690970
283,lexical,,1785690970
283,vector,,1785690970
284,ungrounded,,1785690970
284,lexical,,1785690970
284,vector,,1785690970
285,ungrounded,,1785690971
285,lexical,,1785690971
285,vector,,1785690971
286,ungrounded,,1785690971
286,lexical,,1785690971
286,vector,,1785690971
287,ungrounded,,1785690971
287,lexical,,1785690971
287,vector,,1785690971
288,ungrounded,,1785690971
288,lexical,,1785690971
288,vector,,1785690971
289,ungrounded,,1785690971
289,lexical,,1785690971
289,vector,,1785690971
290,ungrounded,,1785690971
290,lexical,,1785690971
290,vector,,1785690971
291,ungrounded,,1785690971
291,lexical,,1785690971
291,vector,,1785690971
292,ungrounded,,1785690971
292,lexical,,1785690971
292,vector,,1785690971
293,ungrounded,,1785690971
293,lexical,,1785690971
293,vector,,1785690971
294,ungrounded,,1785690971
294,lexical,,1785690971
294,vector,,1785690971
295,ungrounded,,1785690971
295,lexical,,1785690971
295,vector,,1785690971
296,ungrounded,,1785690971
296,lexical,,1785690971
296,vector,,1785690971
297,ungrounded,,1785690971
297,lexical,,1785690971
297,vector,,1785690971
298,ungrounded,,1785690971
298,lexical,,1785690971
298,vector,,1785690971
299,ungrounded,,1785690971
299,lexical,,1785690971
299,vector,,1785690971
300,ungrounded,,1785690971
300,lexical,,1785690971
300,vector,,1785690971
301,ungrounded,,1785690971
301,lexical,,1785690971
301,vector,,1785690971
302,ungrounded,,1785690971
302,lexical,,1785690971
302,vector,,1785690971
303,ungrounded,,1785690971
303,lexical,,1785690971
303,vector,,1785690971
304,ungrounded,,1785690971
304,lexical,,1785690971
304,vector,,1785690971
305,ungrounded,,1785690971
305,lexical,,1785690971
305,vector,,1785690971
306,ungrounded,,1785690971
306,lexical,,1785690971
306,vector,,1785690971
307,ungrounded,,1785690971
307,lexical,,1785690971
307,vector,,1785690971
308,ungrounded,,1785690971
308,lexical,,1785690971
308,vector,,1785690971
309,ungrounded,,1785690971
309,lexical,,1785690971
309,vector,,1785690971
310,ungrounded,,1785690971
310,lexical,,1785690971
310,vector,,1785690971
311,ungrounded,,1785690971
311,lexical,,1785690971
311,vector,,1785690971
312,ungrounded,,1785690971
312,lexical,,1785690971
312,vector,,1785690971
313,ungrounded,,1785690971
313,lexical,,1785690971
313,vector,,1785690971
314,ungrounded,,1785690971
314,lexical,,1785690971
314,vector,,1785690971
315,ungrounded,,1785690971
315,lexical,,1785690971
315,vector,,1785690971
316,ungrounded,,1785690971
316,lexical,,1785690971
316,vector,,1785690971
317,ungrounded,,1785690972
317,lexical,,1785690972
317,vector,,1785690972
318,ungrounded,,1785690972
318,lexical,,1785690972
318,vector,,1785690972
319,ungrounded,,1785690972
319,lexical,,1785690972
319,vector,,1785690972
320,ungrounded,,1785690972
320,lexical,,1785690972
320,vector,,1785690972
321,ungrounded,,1785690972
321,lexical,,1785690972
321,vector,,1785690972
322,ungrounded,,1785690972
322,lexical,,1785690972
322,vector,,1785690972
323,ungrounded,,1785690972
323,lexical,,1785690972
323,vector,,1785690972
324,ungrounded,,1785690972
324,lexical,,1785690972
324,vector,,1785690972
325,ungrounded,,1785690972
325,lexical,,1785690972
325,vector,,1785690972
326,ungrounded,,1785690972
326,lexical,,1785690972
326,vector,,1785690972
327,ungrounded,,1785690972
327,lexical,,1785690972
327,vector,,1785690972
328,ungrounded,,1785690972
328,lexical,,1785690972
328,vector,,1785690972
329,ungrounded,,1785690972
329,lexical,,1785690972
329,vector,,1785690972
330,ungrounded,,1785690972
330,lexical,,1785690972
330,vector,,1785690972
331,ungrounded,,1785690972
331,lexical,,1785690972
331,vector,,1785690972
332,ungrounded,,1785690972
332,lexical,,1785690972
332,vector,,1785690972
333,ungrounded,,1785690972
333,lexical,,1785690972
333,vector,,1785690972
334,ungrounded,,1785690972
334,lexical,,1785690972
334,vector,,1785690972
335,ungrounded,,1785690972
335,lexical,,1785690972
335,vector,,1785690972
336,ungrounded,,1785690972
336,lexical,,1785690972
336,vector,,1785690972
337,ungrounded,,1785690972
337,lexical,,1785690972
337,vector,,1785690972
338,ungrounded,,1785690972
338,lexical,,1785690972
338,vector,,1785690972
339,ungrounded,,1785690972
339,lexical,,1785690972
339,vector,,1785690972
340,ungrounded,,1785690972
340,lexical,,1785690972
340,vector,,1785690972
341,ungrounded,,1785690972
341,lexical,,1785690973
341,vector,,1785690973
342,ungrounded,,1785690973
